sampleID	treatment	Novel introns	Novel exons	Novel transcripts	Matching introns	Matching exons	Matching transcripts	Intron level sensitivity	Intron level precision	Exon level sensitivity	Exon level precision	Transcript level sensitivity	Transcript level precision
SRR10689471	hg38_hisat_EASTR_filtered	2294	4311	21146	96285	117496	3886	29.5	95.8	23.9	69.5	2.6314898458079674	15.524129114733142
SRR10689470	hg38_hisat_EASTR_filtered	4080	8032	20916	134677	152873	13396	40.3	93.0	36.5	78.6	9.071394229141413	39.041734670086264
SRR10689469	hg38_star_EASTR_filtered	1895	3564	18146	101384	120298	5678	31.0	96.1	26.2	74.2	3.8449818179355737	23.83310946944258
SRR10689489	hg38_hisat_EASTR_filtered	6178	12027	22292	157120	175035	14885	46.9	91.8	42.1	78.0	10.079703127856819	40.03819565860613
SRR10689472	hg38_star	5198	9780	22866	144554	163242	13453	43.0	91.8	39.0	78.0	9.109993025129848	37.041218095211875
SRR10689475	hg38_hisat	5577	10918	22560	144307	163196	12295	43.3	92.5	38.3	76.8	8.325828011891138	35.27470951083058
SRR10689485	hg38_star	4839	8526	19536	151170	166571	14947	45.0	92.2	41.1	81.0	10.121687783142484	43.34599657802396
SRR10689474	hg38_hisat	4139	7886	19399	137111	154457	13861	41.1	93.2	37.4	79.7	9.3862791437839	41.67468430547204
SRR10689477	hg38_hisat	2920	5304	16401	120881	137097	9399	36.8	95.0	32.5	79.8	6.364738306934917	36.43023255813954
SRR10689484	hg38_star	5279	10758	24805	143578	164979	11986	42.9	92.3	38.3	75.7	8.11658190732226	32.57861977113968
SRR10689473	hg38_star	7440	14685	24846	161644	180075	15559	47.8	90.5	43.0	76.4	10.536116961123563	38.50761044425195
SRR10689476	hg38_hisat	5322	9551	19338	157096	172082	16514	46.9	92.3	42.8	81.5	11.182816086894693	46.061586522369744
SRR10689470	hg38_hisat	4391	8523	21225	134733	153023	13360	40.3	92.7	36.5	78.2	9.047016042201351	38.62946364030649
SRR10689488	hg38_hisat	4562	9216	25912	109458	133767	4926	33.4	93.6	27.4	67.4	3.3357485796320248	15.973798560217913
